index,CITY,STATE,HDI,GINI,Longetivity,Education
13,Abreu E Lima,0,0.679,0.625,0.791,0.632
35,Afogados Da Ingazeira,0,0.657,0.623,0.807,0.565
39,Afrânio,0,0.588,0.542,0.761,0.493
41,Agrestina,0,0.59,0.581,0.76,0.47
60,Água Preta,0,0.55,0.514,0.761,0.432
64,Águas Belas,0,0.526,0.546,0.691,0.385
89,Alagoinha,0,0.599,0.569,0.801,0.472
117,Aliança,0,0.604,0.565,0.799,0.488
138,Altinho,0,0.598,0.559,0.792,0.482
189,Amaraji,0,0.58,0.575,0.748,0.454
236,Angelim,0,0.57,0.555,0.751,0.448
303,Araçoiaba,0,0.59,0.544,0.765,0.498
348,Araripina,0,0.602,0.595,0.785,0.467
363,Arcoverde,0,0.667,0.654,0.799,0.567
510,Barra De Guabiraba,0,0.58,0.558,0.726,0.474
545,Barreiros,0,0.586,0.561,0.73,0.491
583,Belém De Maria,0,0.578,0.537,0.749,0.479
586,Belém Do São Francisco,0,0.642,0.611,0.784,0.553
593,Belo Jardim,0,0.629,0.617,0.783,0.514
618,Betânia,0,0.56,0.533,0.742,0.441
621,Bezerros,0,0.606,0.608,0.752,0.487
662,Bodocó,0,0.565,0.543,0.745,0.445
666,Bom Conselho,0,0.563,0.585,0.704,0.433
670,Bom Jardim,0,0.602,0.552,0.767,0.515
715,Bonito,0,0.561,0.559,0.754,0.42
762,Brejão,0,0.547,0.54,0.725,0.417
765,Brejinho,0,0.574,0.563,0.681,0.493
769,Brejo Da Madre De Deus,0,0.562,0.581,0.734,0.417
792,Buenos Aires,0,0.593,0.556,0.778,0.481
795,Buíque,0,0.527,0.497,0.746,0.395
827,Cabo De Santo Agostinho,0,0.69,0.654,0.812,0.609
832,Cabrobó,0,0.623,0.581,0.773,0.539
855,Cachoeirinha,0,0.579,0.587,0.753,0.439
871,Caetés,0,0.522,0.497,0.732,0.392
903,Calçado,0,0.57,0.529,0.731,0.468
913,Calumbi,0,0.57,0.567,0.715,0.46
922,Camaragibe,0,0.69,0.656,0.805,0.628
934,Camocim De São Félix,0,0.588,0.585,0.738,0.472
998,Camutanga,0,0.606,0.57,0.76,0.514
1031,Canhotinho,0,0.541,0.543,0.725,0.403
1083,Capoeiras,0,0.55,0.529,0.746,0.419
1138,Carnaíba,0,0.583,0.54,0.727,0.505
1142,Carnaubeira Da Penha,0,0.573,0.491,0.755,0.508
1147,Carpina,0,0.68,0.63,0.806,0.619
1151,Caruaru,0,0.677,0.681,0.799,0.569
1165,Casinhas,0,0.57,0.518,0.721,0.489
1187,Catende,0,0.609,0.578,0.76,0.515
1211,Cedro,0,0.615,0.565,0.717,0.573
1239,Chã De Alegria,0,0.604,0.546,0.762,0.529
1240,Chã Grande,0,0.599,0.603,0.803,0.443
1349,Condado,0,0.602,0.581,0.713,0.527
1420,Correntes,0,0.536,0.551,0.726,0.385
1422,Cortês,0,0.568,0.541,0.707,0.478
1497,Cumaru,0,0.57,0.553,0.72,0.47
1504,Cupira,0,0.59,0.601,0.763,0.453
1524,Custódia,0,0.594,0.607,0.706,0.489
1617,Dormentes,0,0.589,0.558,0.741,0.495
1690,Escada,0,0.632,0.594,0.781,0.543
1734,Exu,0,0.58,0.543,0.775,0.454
1760,Feira Nova,0,0.6,0.581,0.807,0.46
1773,Fernando De Noronha,0,0.79,0.781,0.839,0.748
1781,Ferreiros,0,0.622,0.589,0.787,0.519
1799,Flores,0,0.556,0.544,0.745,0.423
1803,Floresta,0,0.626,0.588,0.775,0.538
1862,Frei Miguelinho,0,0.58,0.575,0.758,0.438
1879,Gameleira,0,0.602,0.541,0.759,0.532
1883,Garanhuns,0,0.664,0.662,0.795,0.556
1916,Glória Do Goitá,0,0.604,0.57,0.765,0.506
1921,Goiana,0,0.65,0.614,0.779,0.576
1962,Granito,0,0.595,0.543,0.773,0.502
1967,Gravatá,0,0.634,0.63,0.794,0.51
2079,Iati,0,0.528,0.518,0.768,0.369
2100,Ibimirim,0,0.552,0.533,0.706,0.446
2110,Ibirajuba,0,0.58,0.545,0.753,0.476
2148,Igarassu,0,0.665,0.622,0.781,0.606
2158,Iguaracy,0,0.598,0.58,0.77,0.48
2167,Ilha De Itamaracá,0,0.653,0.627,0.809,0.548
2187,Inajá,0,0.523,0.503,0.711,0.4
2204,Ingazeira,0,0.608,0.575,0.766,0.51
2241,Ipojuca,0,0.619,0.613,0.774,0.499
2249,Ipubi,0,0.55,0.541,0.712,0.433
